AD;DEC;NOM;DIMENSION;STATUT
17:08:09.47;-25:02:41.88;StDr 147;50.5 min d'arc;Nouvelle candidate
17:09:23.78;-46:16:40.90;Pa 205;0.1 min d'arc;Nouvelle candidate
17:10:32.75;-39:47:36.84;Dr 4;0.7 x 0.6 min d'arc;Objet de nature inconnue
17:10:56.81;-43:40:06.03;Mo Objet 8;0.2 min d'arc;Nouvelle candidate
17:11:29.02;-34:35:05.30;StDr Objet 24;0.1 min d'arc;Nouvelle candidate
17:11:42.02;-40:35:27.60;Mo 16;0.3 min d'arc;Nouvelle candidate
17:13:18.10;-34:31:42.00;DeGaPe 69;0.1 min d'arc;Nouvelle candidate
17:13:36.40;-33:47:49.50;DeGaPe 67;0.1 min d'arc;Nouvelle candidate
17:15:04.00;-36:56:30.00;Mul-IR 88;min d'arc;
17:15:37.80;-36:14:36.70;Pre 27;0.1 min d'arc;Nouvelle candidate
17:16:00.00;-33:31:24.30;DeGaPe 66;0.1 min d'arc;Etoile avec raies en émission
17:16:13.41;-30:39:04.50;StDr 134;2.6 min d'arc;Nouvelle candidate
17:16:23.71;-33:57:16.80;CA 3;0.1 min d'arc;Nouvelle candidate
17:16:41.77;-34:46:04.90;PreRo 1;0.2 min d'arc;Nouvelle candidate
17:16:45.91;-34:46:52.40;Ro 1;0.3 min d'arc;Nouvelle candidate
17:16:48.57;-34:05:07.30;CA 2;0.1 min d'arc;Nouvelle candidate
17:16:54.79;-34:02:30.20;CA 4;0.1 min d'arc;Nouvelle candidate
17:17:12.68;-48:31:56.79;St 31;0.5 min d'arc;Nouvelle candidate
17:17:47.90;-44:46:37.20;LDu-IR 6;min d'arc;
17:17:53.98;-34:16:04.60;CA 5;0.1 min d'arc;Nouvelle candidate
17:18:01.92;-34:21:20.00;CA 1;0.1 min d'arc;Nouvelle candidate
17:18:07.28;-37:53:37.60;Ro 4;0.1 min d'arc;Nouvelle candidate
17:18:21.00;-34:16:34.80;Pre 12;0.1 min d'arc;Nouvelle candidate
17:18:25.41;-68:54:23.60;LDû 9;0.7 x 0.6 min d'arc;Galaxie ?
17:18:26.80;-33:36:31.00;DeGaPe 65;0.1 min d'arc;Nouvelle candidate
17:18:34.81;-38:48:58.40;Mul-IR 3;min d'arc;
17:18:46.30;-34:39:21.60;Pre 10;0.1 x 0.2 min d'arc;Nouvelle candidate
17:19:51.44;-38:09:41.03;Pre 68;0.1 min d'arc;Possible NP
17:20:19.20;-41:56:35.00;Mul-IR 65;0.1 min d'arc;NP Probable
17:20:36.39;-38:12:49.79;PreMo 2;0.1 min d'arc;Vraie NP
17:21:11.80;-35:00:43.50;DeGaPe 68;0.1 min d'arc;Nouvelle candidate
17:21:54.80;-32:33:44.40;Mo 3;0.2 x 0.1 min d'arc;Nouvelle candidate
17:22:10.00;-32:48:18.40;Kan 6;0.2 min d'arc;Nouvelle candidate
17:22:13.64;-40:54:42.54;StDr 72;0.1 min d'arc;Nouvelle candidate
17:22:17.81;-28:25:35.90;Mul-IR 4;min d'arc;
17:22:32.28;-28:22:12.00;StDr 73;0.16 min d'arc;Possible NP
17:22:46.58;-43:09:36.13;Pa 206;0.1 min d'arc;Nouvelle candidate
17:23:46.39;-13:59:44.40;Ra 62;0.1 min d'arc;Nouvelle candidate
17:24:29.66;-31:37:40.70;Mo 1;0.1 x 0.2 min d'arc;Nouvelle candidate
17:25:12.07;-37:52:59.85;Mo Objet 12;2 x 0.3 min d'arc;Nouvelle candidate
17:25:48.00;-39:26:32.20;Pa 188;0.1 min d'arc;Nouvelle candidate
17:26:12.90;-33:10:37.60;PreFe 1;0.1 min d'arc;Nouvelle candidate
17:26:36.30;-23:26:39.00;Pre 16;0.2 x 0.1 min d'arc;Vraie NP
17:27:19.27;-24:44:04.10;Pa 189;0.1 min d'arc;Nouvelle candidate
17:27:59.36;-44:22:32.18;Pa Objet 2;0.1 min d'arc;Nouvelle candidate
17:27:59.90;-32:54:10.10;Pa 190;0.1 min d'arc;Nouvelle candidate
17:28:00.21;-31:43:36.00;StDr 74;0.1 min d'arc;Nouvelle candidate
17:28:03.34;-56:59:21.68;Pre 72;9.3 x 5 min d'arc;Nouvelle candidate
17:28:27.56;-19:35:15.14;Pa 207;0.1 min d'arc;Nouvelle candidate
17:28:47.38;-22:03:11.60;Mo 20;0.1 min d'arc;Nouvelle candidate
17:29:07.98;-33:16:30.46;Pa 192;1.2 x 0.9 min d'arc;Nouvelle candidate
17:29:45.20;-33:50:30.40;DeGaPe 25;0.1 min d'arc;Nouvelle candidate
17:29:55.88;-51:05:03.25;Pre Objet 11;0.4 min d'arc;Nouvelle candidate
17:30:12.24;-32:09:03.60;Mo 7;0.1 min d'arc;Nouvelle candidate
17:30:40.10;-39:39:40.45;Pa 208;0.1 min d'arc;Nouvelle candidate
17:32:10.41;-56:13:19.80;Pre Objet 13;5.8 x 2.7 min d'arc;Nouvelle candidate
17:32:11.17;-21:50:02.27;Mul-IR 20;min d'arc;
17:32:28.97;-33:59:03.30;StDr 108;0.1 min d'arc;Nouvelle candidate
17:33:06.77;-34:38:16.20;Ra 72;0.1 min d'arc;Nouvelle candidate
17:33:28.85;-34:05:55.78;Dr 10;0.1 min d'arc;Nouvelle candidate
17:33:48.64;-15:26:27.50;Pre 32;0.1 min d'arc;Nouvelle candidate
17:33:54.80;-34:29:41.40;Pre 4;0.1 min d'arc;Nouvelle candidate
17:34:02.74;-40:32:45.60;Pa 193;0.1 min d'arc;Nouvelle candidate
17:34:24.90;-38:49:25.00;Pa 209;0.1 min d'arc;Nouvelle candidate
17:35:18.04;-26:30:03.60;Mul-IR 21;min d'arc;
17:36:29.20;+17:40:39.00;Mul-LDu-IR 9;min d'arc;
17:37:16.15;-30:14:10.70;StDr 75;0.1 min d'arc;NP Probable
17:37:37.00;-44:16:26.00;Pa Objet 5;0.1 min d'arc;Nouvelle candidate
17:38:06.40;-33:35:45.00;Pre 52;0.1 min d'arc;Nouvelle candidate
17:38:20.45;-21:40:28.40;Pa 194;0.1 min d'arc;Nouvelle candidate
17:38:28.70;-36:16:45.06;St 29;0.2 min d'arc;Nouvelle candidate
17:39:33.08;-24:48:44.90;Pa 195;0.1 min d'arc;Nouvelle candidate
17:39:43.80;-42:00:41.00;Mul-IR 66;min d'arc;
17:40:12.27;-32:19:21.81;PreRo 4;0.1 min d'arc;Nouvelle candidate
17:40:24.30;-32:20:16.21;Mul Objet 8;0.1 min d'arc;Nouvelle candidate
17:40:49.50;-34:51:58.00;Pa Objet 3;0.1 min d'arc;Nouvelle candidate
17:41:25.46;-29:51:34.00;Kan 2;0.1 min d'arc;Nouvelle candidate
17:41:38.30;-24:14:41.00;Mul-IR 22;min d'arc;
17:41:52.43;-26:19:12.70;StDr 76;0.1 min d'arc;Nouvelle candidate
17:42:10.95;-27:01:20.80;StDr 77;0.1 min d'arc;Possible NP
17:42:24.44;-32:57:03.47;Ro 10;0.1 min d'arc;Nouvelle candidate
17:42:32.40;-18:09:44.20;Ra 61;0.1 min d'arc;NP Probable
17:42:47.92;-13:42:57.80;Mo 25;0.1 min d'arc;Nouvelle candidate
17:42:53.92;-34:09:01.80;Pre 17;0.1 min d'arc;Vraie NP
17:43:44.70;-32:26:03.70;Ra 81;0.1 min d'arc;Nouvelle candidate
17:44:02.13;-31:06:48.00;Kan 7;0.1 min d'arc;Nouvelle candidate
17:44:15.30;+22:36:26.80;PaGo 2;10 min d'arc;NP Probable
17:45:17.72;-31:44:46.20;Mul 18;0.1 min d'arc;Possible NP
17:46:49.48;-32:05:32.50;Pa 196;0.1 min d'arc;Nouvelle candidate
17:47:40.29;-25:04:55.70;Kan 1;0.1 min d'arc;Nouvelle candidate
17:47:52.13;-32:09:50.44;Pre 64;0.3 min d'arc;Nouvelle candidate
17:47:59.90;-26:12:38.30;PaMo 2;0.1 min d'arc;Nouvelle candidate
17:48:08.57;-25:56:11.70;StDr 78;0.1 min d'arc;Possible NP
17:48:12.01;-10:43:03.54;Mo 18;0.1 min d'arc;Nouvelle candidate
17:49:40.67;-25:26:21.70;StDr 79;0.1 min d'arc;NP Probable
17:52:08.56;-28:23:37.88;St 66;0.1 min d'arc;Vraie NP
17:53:06.15;-26:34:07.50;LDû 36;1 min d'arc;NP Probable
17:54:06.46;-27:02:07.50;Mul-IR 5;min d'arc;
17:54:36.70;-37:59:45.90;Pa 198;0.1 min d'arc;Nouvelle candidate
17:54:45.62;-30:25:39.48;Pa Objet 4;0.2 min d'arc;Nouvelle candidate
17:55:24.00;-37:00:34.00;Pa 199;0.1 min d'arc;Nouvelle candidate
17:55:40.60;-21:55:54.00;PreMo 3;0.1 min d'arc;Nouvelle candidate
17:55:50.16;-27:14:09.30;EMol 2;0.1 min d'arc;Nouvelle candidate
17:56:29.30;-31:56:43.90;Pa 200;0.1 min d'arc;Nouvelle candidate
17:56:29.64;-07:22:48.91;KinPau 1;20 x 7.5 min d'arc;Nouvelle candidate
17:56:40.23;-27:11:18.78;PreRo 3;0.1 min d'arc;Nouvelle candidate
17:56:52.20;-19:33:01.20;Pre 14;0.1 min d'arc;Possible NP
17:57:53.30;-12:55:38.00;Mul-IR 47;min d'arc;
17:58:12.22;-28:34:36.83;Mul 11;0.1 min d'arc;Vraie NP
17:58:23.27;-21:50:28.60;EMol 3;0.1 min d'arc;Nouvelle candidate
17:58:40.73;-30:10:02.20;Pa 201;0.1 min d'arc;Vraie NP
17:59:19.67;-17:47:14.90;Pre 58;0.5 min d'arc;Vraie NP
18:00:11.91;-22:10:48.98;PreRa 1;0.1 min d'arc;Nouvelle candidate
18:02:35.16;-25:53:24.81;StMul 2;0.1 min d'arc;Nouvelle candidate
18:02:56.78;-12:24:53.20;StDr 110;0.1 min d'arc;Nouvelle candidate
18:03:25.73;-16:53:05.23;StDr 52;2.4 min d'arc;Nouvelle candidate
18:04:19.60;+00:08:04.20;Pre 21;0.1 min d'arc;Vraie NP
18:04:45.60;-23:12:22.70;Ra 70;0.1 min d'arc;Possible NP
18:05:16.65;-23:35:39.54;Mul Objet 7;0.1 min d'arc;Nouvelle candidate
18:05:54.10;-20:06:44.10;Pre 15;0.1 min d'arc;Nouvelle candidate
18:05:57.22;-20:44:33.70;Mul-IR 23;min d'arc;
18:07:32.10;-24:20:17.91;Mul 17;0.1 min d'arc;NP Probable
18:08:03.66;-24:50:59.09;StDr 102;0.1 min d'arc;Vraie NP
18:08:06.34;-10:29:45.60;LDu-IR 8;min d'arc;
18:08:23.80;-28:09:31.00;Mul-IR 24;min d'arc;
18:08:32.66;-28:49:49.87;StDr 80;0.1 min d'arc;Nouvelle candidate
18:08:41.01;-38:29:36.90;StDr 136;2 min d'arc;Nouvelle candidate
18:09:08.95;-31:23:52.80;Pa 202;0.1 min d'arc;Nouvelle candidate
18:10:15.10;-28:15:28.79;PaMo 3;0.1 min d'arc;Nouvelle candidate
18:10:56.33;-11:24:17.00;LDu-IR 1;min d'arc;
18:10:57.20;-18:18:39.00;Pre 18;0.1 min d'arc;Nouvelle candidate
18:11:40.16;-18:30:11.61;StDr 156;10 min d'arc;Nouvelle candidate
18:12:15.57;-08:09:43.46;TanMul 1;0.1 min d'arc;Nouvelle candidate
18:12:22.14;-11:40:07.12;StDr 158;13.5 min d'arc;Nouvelle candidate
18:12:34.27;-16:00:39.40;LDu-IR 12;min d'arc;
18:12:39.46;-13:34:50.80;LDu-IR 10;0.1 min d'arc;Possible NP
18:12:49.66;-20:18:54.30;Mul-IR 25;min d'arc;
18:13:46.14;-28:23:55.80;Pa 197;0.1 min d'arc;Nouvelle candidate
18:13:54.93;-14:17:06.93;StDr 31;11 x 4.6 min d'arc;Vraie NP
18:14:09.70;-06:07:52.00;Mul-IR 48;min d'arc;
18:14:25.97;-15:41:34.17;StMul 1;0.1 min d'arc;NP Probable
18:14:26.86;-15:53:28.53;StDr 153;2.5 min d'arc;Nouvelle candidate
18:14:32.70;-23:52:45.60;StDr 111;0.1 min d'arc;Nouvelle candidate
18:15:36.40;-19:44:05.70;DeGaPe 48;0.1 min d'arc;Nouvelle candidate
18:15:50.90;-20:23:26.90;DeGaPe 49;0.1 min d'arc;Vraie NP
18:16:16.72;+22:19:41.10;Cop 4;0.3 x 0.2 min d'arc;Galaxie ?
18:17:30.93;-55:28:41.40;Pre 13;0.4 x 0.6 min d'arc;Vraie NP
18:17:34.20;-13:24:54.07;Dr Objet 2;1.1 min d'arc;Nouvelle candidate
18:18:20.00;-12:14:48.20;DeGaPe 28;0.6 x 0.4 min d'arc;Possible NP
18:18:24.20;-12:11:49.50;DeGaPe 30;0.1 min d'arc;Région HII
18:19:11.65;-16:59:23.90;StDr 51;0.7 min d'arc;NP Probable
18:19:53.90;-11:48:44.00;DeGaPe 29;0.1 min d'arc;Nouvelle candidate
18:20:13.82;+34:21:08.70;StDr 81;24 min d'arc;Nouvelle candidate
18:20:14.30;-22:30:14.10;Pre 35;0.1 min d'arc;NP Probable
18:20:14.40;-12:44:49.00;Mul-IR 49;min d'arc;
18:20:30.30;+44:49:12.00;Mul-IR 67;min d'arc;
18:21:10.08;-18:36:29.64;Ro 5;0.5 x 0.4 min d'arc;Nouvelle candidate
18:21:14.92;-01:23:04.10;StDr 82;0.7 min d'arc;Nouvelle candidate
18:21:47.91;-17:41:35.40;EMol 4;0.1 min d'arc;Nouvelle candidate
18:25:10.60;-02:58:55.00;Mul-IR 30;min d'arc;
18:25:15.00;+00:02:03.00;Ra 11;0.4 min d'arc;Vraie NP
18:25:17.06;-17:56:30.00;Tan 2;0.1 min d'arc;Vraie NP
18:27:44.31;-20:34:08.70;StDr 112;0.1 min d'arc;Nouvelle candidate
18:27:49.75;-13:16:59.20;Pre 53;0.1 min d'arc;Nouvelle candidate
18:29:02.10;+37:20:05.35;StDr 29;5 min d'arc;NP Probable
18:29:11.30;-16:32:00.00;DeGaPe 50;1.6 x 0.6 min d'arc;Région HII
18:29:27.90;-05:39:42.50;StDr 113;0.1 min d'arc;Nouvelle candidate
18:30:01.68;-12:00:00.10;St 6;0.6 x 0.2 min d'arc;Nouvelle candidate
18:30:05.23;+14:16:13.85;PaMor 1;5.6 min d'arc;Nouvelle candidate
18:31:49.60;-06:50:10.00;Mul-IR 6;min d'arc;
18:32:04.23;+03:04:02.50;StDr 114;0.1 min d'arc;Nouvelle candidate
18:32:07.81;-14:58:42.90;DeGaPe 51;1 min d'arc;Vraie NP
18:32:31.90;-04:46:11.30;Mul 13;0.1 min d'arc;NP Probable
18:32:36.50;-12:46:02.09;Mul 14;0.1 min d'arc;NP Probable
18:32:49.65;-00:56:37.99;LDû 30;0.1 min d'arc;Vraie NP
18:33:34.56;-09:57:34.60;Mul-IR 28;min d'arc;
18:33:42.23;-15:21:12.10;LDu-IR 11;min d'arc;
18:33:51.49;-24:02:52.30;Mul-IR 26;0.1 min d'arc;Possible NP
18:34:24.42;-17:02:00.90;Pre 30;1.0 x 0.3 min d'arc;Non NP
18:34:45.50;-10:59:18.00;Mul-IR 29;min d'arc;
18:34:54.00;-12:11:23.90;Kan 4;0.1 min d'arc;Vraie NP
18:35:10.60;+01:04:20.00;Mul-IR 7;min d'arc;
18:36:01.00;+32:40:19.00;Ra 60;1.8 x 1.5 min d'arc;Nouvelle candidate
18:36:33.94;-04:08:24.60;LDu-IR 7;min d'arc;
18:36:43.90;-06:27:25.00;Mul-IR 8;min d'arc;
18:36:57.78;-09:29:00.10;KanFe 1;0.1 min d'arc;Nouvelle candidate
18:37:44.48;-16:51:05.80;StDr 115;0.1 min d'arc;Nouvelle candidate
18:37:52.45;-00:20:54.29;StDr Objet 13;23 min d'arc;Nouvelle candidate
18:38:01.70;-22:02:48.00;Mul-IR 27;0.1 min d'arc;NP Probable
18:38:42.85;-13:10:45.40;StDr 116;0.1 min d'arc;Nouvelle candidate
18:41:37.02;+04:40:29.64;Cop 6;0.5 x 0.2 min d'arc;Objet de nature inconnue
18:41:46.20;-07:51:29.10;Pre 9;0.1 x 0.2 min d'arc;Vraie NP
18:42:46.75;-09:50:48.00;Pre 48;0.1 min d'arc;Vraie NP
18:42:53.58;-08:43:22.20;StDr 117;0.1 min d'arc;Nouvelle candidate
18:43:54.64;-08:58:32.50;Mo 21;0.1 min d'arc;Nouvelle candidate
18:44:27.21;-08:30:48.70;Mul-IR 31;min d'arc;
18:44:27.21;-08:30:48.70;MulPre 1;0.1 min d'arc;NP Probable
18:45:28.10;-05:31:02.31;Tan 1;0.1 min d'arc;Vraie NP
18:45:41.34;+33:56:4.54;PaStDr 5;9 min d'arc;Possible NP
18:46:04.40;+00:38:55.00;Mul-IR 32;min d'arc;
18:47:20.12;+02:10:23.66;Mo 40;0.4 x 0.3 min d'arc;Nouvelle candidate
18:48:12.84;-19:00:52.86;StDr 135;4 min d'arc;Nouvelle candidate
18:48:53.06;+01:28:51.30;Mul-IR 9;0.1 min d'arc;Vraie NP
18:49:32.00;-00:38:08.00;Ra 23;0.2 min d'arc;Région HII
18:50:36.20;-02:44:21.00;Mul-IR 10;min d'arc;
18:51:55.48;+08:40:13.09;StDr 60;1.0 x 0.9 min d'arc;Nouvelle candidate
18:52:16.73;-00:43:39.25;Sot 1;0.2 min d'arc;Possible NP
18:52:48.44;-02:46:18.49;StDr 118;0.1 min d'arc;Nouvelle candidate
18:53:36.55;+37:29:14.62;StDr 119;10 min d'arc;Nouvelle candidate
18:54:12.34;+05:26:42.90;RaMulMo 1;0.1 min d'arc;Nouvelle candidate
18:54:31.68;+05:37:12.30;Mul-IR 34;min d'arc;
18:54:45.77;+36:30:12.00;Ra 1;0.3 min d'arc;Vraie NP
18:55:14.96;+01:44:58.10;Mul-IR 35;min d'arc;
18:55:26.30;+02:14:49.00;Mul-IR 36;min d'arc;
18:55:45.40;+04:24:47.00;Mul-IR 37;min d'arc;
18:57:23.55;-06:43:28.10;StDr Objet 25;0.1 min d'arc;Nouvelle candidate
18:57:48.70;+00:02:56.90;RaStDr 1;0.1 min d'arc;Nouvelle candidate
18:58:33.41;-09:56:38.95;Dr 11;0.7 min d'arc;Nouvelle candidate
18:59:25.79;+37:30:26.33;StDr 120;10 min d'arc;Nouvelle candidate
19:00:06.00;+30:38:02.00;Ra Objet 4;0.3 min d'arc;Nouvelle candidate
19:00:10.02;+13:07:05.90;StDr 83;0.43 min d'arc;Nouvelle candidate
19:00:27.30;+14:32:04.28;Ek 1;2.2 min d'arc;Nouvelle candidate
19:01:29.50;-05:40:41.00;Mul-IR 33;min d'arc;
19:01:31.94;+01:20:41.10;Ra 73;0.1 min d'arc;NP Probable
19:03:29.32;+10:53:51.20;Mul-LDu-IR 1;min d'arc;
19:04:10.44;+47:15:18.50;LDû 19;0.25 min d'arc;Nouvelle candidate
19:04:57.56;+07:44:19.00;Mul-IR 16;0.1 min d'arc;Vraie NP
19:05:12.00;+16:13:44.00;Ra 2;1 min d'arc;Vraie NP
19:06:15.34;+12:36:49.10;Mul-IR 13;min d'arc;
19:07:32.90;+02:56:26.98;RaPas 1;0.1 min d'arc;Nouvelle candidate
19:08:12.94;+02:59:48.70;RaPas 2;0.1 min d'arc;Nouvelle candidate
19:08:19.59;-10:18:17.76;StDr 49;9 min d'arc;Nouvelle candidate
19:08:19.60;+07:35:33.00;Mul-IR 81;min d'arc;
19:08:29.00;+23:18:25.00;Ra 12;0.2 min d'arc;Nouvelle candidate
19:08:55.00;+35:27:24.00;LDû Objet 3;0.1 min d'arc;Nouvelle candidate
19:09:28.66;+19:35:14.16;StDr 24;0.6 min d'arc;Vraie NP
19:10:03.40;+03:22:24.06;StDr 101;3.75 min d'arc;Vraie NP
19:10:23.97;+13:32:21.49;StDr 34;0.6 min d'arc;Vraie NP
19:11:02.73;+15:17:48.00;Dr 33;1.2 min d'arc;NP Probable
19:11:04.00;+06:08:44.00;Ra 31;0.4 min d'arc;Vraie NP
19:11:07.75;+03:32:59.27;StDr 160;0.4 min d'arc;Nouvelle candidate
19:11:22.56;+40:55:38.60;LDû 7;0.2 min d'arc;Possible NP
19:11:25.44;+05:31:13.69;Cop 5;0.1 min d'arc;NP Probable
19:11:56.23;+15:25:25.20;LDûPa 1;0.1 min d'arc;Vraie NP
19:12:08.00;+09:46:15.00;Mul-IR 82;min d'arc;
19:12:10.00;+16:46:33.00;Ra 3;0.1 min d'arc;Vraie NP
19:12:13.00;+04:54:16.25;StDr Objet 11;1.3 x 0.8 min d'arc;Nouvelle candidate
19:12:17.93;+15:33:50.40;Mul 9;0.1 min d'arc;Nouvelle candidate
19:12:24.14;+03:30:06.90;StDr Objet 32;18 min d'arc;Nouvelle candidate
19:12:38.83;+02:46:45.74;Sai 1;0.1 min d'arc;Nouvelle candidate
19:12:47.70;+03:34:35.60;Mul-IR 17;min d'arc;
19:13:45.30;+13:22:09.99;StDr 14;1 min d'arc;NP Probable
19:14:23.64;+15:04:55.30;Mul 3;0.1 min d'arc;Nouvelle candidate
19:15:23.58;+14:43:13.56;EMol 1;0.1 min d'arc;Nouvelle candidate
19:15:34.52;+15:56:09.00;StDr 45;2.6 min d'arc;NP Probable
19:16:14.99;+14:09:38.14;MulLDu 2;0.1 min d'arc;Nouvelle candidate
19:16:15.09;+14:09:38.70;LDu-IR 2;min d'arc;
19:16:21.40;+16:56:39.60;Mul-IR 14;0.1 min d'arc;Vraie NP
19:16:28.28;+14:25:33.40;LDu-IR 3;min d'arc;
19:17:25.11;+20:52:31.20;StDr 28;2 min d'arc;Vraie NP
19:18:50.58;+03:27:20.62;StDr 16;2.4 min d'arc;Possible NP
19:18:52.05;+43:34:57.10;LDû 8;0.1 min d'arc;Galaxie ?
19:19:53.47;+16:42:32.80;Mul 10;0.1 min d'arc;Nouvelle candidate
19:20:11.50;+08:45:58.40;StDr 84;0.38 min d'arc;Nouvelle candidate
19:20:14.10;+12:12:22.00;Mul-IR 80;min d'arc;
19:20:26.60;+12:02:19.81;Dr 37;2 x 1.3 min d'arc;Nouvelle candidate
19:20:30.00;+16:23:34.00;Pre 6;0.1 min d'arc;Nouvelle candidate
19:21:44.82;+23:18:18.70;LDu-IR 4;min d'arc;
19:21:51.40;+14:21:41.30;Mul-IR 15;min d'arc;
19:23:10.38;+21:41:23.30;Mo 19;0.1 min d'arc;Nouvelle candidate
19:24:15.50;+23:06:01.00;Mul-IR 79;min d'arc;
19:25:26.71;+46:46:26.42;Dr 23;8 min d'arc;Nouvelle candidate
19:26:49.00;-04:32:03.00;Su 1;0.5 x 0.2 min d'arc;Nouvelle candidate
19:27:45.62;+35:08:57.30;LDû 22;1.6 x 1.0 min d'arc;Nouvelle candidate
19:28:47.00;+09:34:36.00;Fe 1;0.9 min d'arc;Vraie NP
19:29:50.33;+19:34:20.42;StDr 85;1.2 min d'arc;Possible NP
19:30:23.61;+37:37:06.80;Ra 69;0.1 min d'arc;Galaxie
19:30:45.62;+08:43:30.60;St 5;0.6 min d'arc;Nouvelle candidate
19:30:58.09;+26:58:43.63;StDr 86;1 min d'arc;Possible NP
19:31:09.65;+00:41:14.40;StDr 87;0.33 min d'arc;Nouvelle candidate
19:31:20.13;+08:43:56.40;St 67;0.4 x 0.3 min d'arc;Nouvelle candidate
19:31:26.50;+26:02:38.60;Pa Objet 6;0.1 min d'arc;Nouvelle candidate
19:31:26.90;+33:27:23.59;StDr 132;4 min d'arc;Nouvelle candidate
19:32:45.83;+15:43:12.57;Dr 29;6.2 min d'arc;NP Probable
19:33:49.94;+22:15:05.56;StDr 25;0.4 min d'arc;Vraie NP
19:34:37.27;+23:49:48.44;StDr Objet 19;1 min d'arc;Objet de nature inconnue
19:35:50.13;+16:28:47.50;Dr 31;0.6 min d'arc;Nouvelle candidate
19:36:07.65;+24:29:53.60;Mul-IR 11;min d'arc;
19:36:24.28;+24:27:16.00;Mul-IR 72;min d'arc;
19:37:01.00;+37:31:46.00;Ra 36;0.3 min d'arc;Non NP
19:37:19.83;+32:32:16.79;Maa 1;1.1 min d'arc;Possible NP
19:37:21.94;+23:36:13.64;Cop 2;1 min d'arc;NP Probable
19:37:40.00;+20:35:47.00;Ra 24;0.5 min d'arc;Vraie NP
19:38:16.81;+23:45:45.80;Ou 3;1.5 min d'arc;Vraie NP
19:38:19.16;+43:52:44.70;Hu 7;5 x 3 min d'arc;Nouvelle candidate
19:38:36.00;+38:18:34.00;Ra 15;0.4 min d'arc;Possible NP
19:39:05.00;+08:44:35.00;Fe 5;0.5 min d'arc;Galaxie ?
19:39:44.00;+58:02:11.00;Ra 14;3.7 min d'arc;Nouvelle candidate
19:39:47.96;+20:34:10.05;StDr 30;1.3 min d'arc;Vraie NP
19:40:05.89;+22:35:14.60;StDr 89;3 min d'arc;Nouvelle candidate
19:40:38.71;+12:31:20.11;StDr 100;1 min d'arc;Nouvelle candidate
19:40:43.00;+02:30:32.00;Ra 7;2.3 min d'arc;Vraie NP
19:40:48.51;+27:05:08.90;LDu-IR 5;min d'arc;
19:41:39.93;+21:45:58.36;StDr 90;2.5 min d'arc;Nouvelle candidate
19:41:57.12;+34:22:24.46;Cop 1;3.2 min d'arc;Nouvelle candidate
19:42:27.00;-17:01:06.00;LDû Objet 1;0.4 min d'arc;Nouvelle candidate
19:42:48.29;+29:02:29.98;Mul Objet 9;0.1 min d'arc;Nouvelle candidate
19:43:14.29;+18:56:33.50;StDr 173;5 min d'arc;
19:43:16.19;+26:02:55.10;Mul-IR 68;min d'arc;
19:43:21.60;+26:01:39.10;Mul-IR 69;min d'arc;
19:43:46.00;+44:49:49.00;Ra 8;0.5 min d'arc;Non NP
19:44:08.42;+28:48:31.27;StDr Objet 29;0.6 min d'arc;Nouvelle candidate
19:44:22.71;+16:55:59.10;Mul 1;2.6 x 1.9 min d'arc;Région HII
19:44:28.20;-14:40:05.40;DeGaPe 70;0.1 min d'arc;Nouvelle candidate
19:45:11.26;-44:59:53.90;PaStDr 8;60 min d'arc;Nouvelle candidate
19:45:37.00;+48:38:27.00;LDû Objet 4;0.2 x 0.4 min d'arc;Nouvelle candidate
19:45:44.00;+27:14:48.50;Mul-IR 12;0.1 min d'arc;Objet de nature inconnue
19:45:56.00;+58:06:13.00;Ra 35;4 min d'arc;Nouvelle candidate
19:46:03.44;+48:35:09.50;LDû 24;0.3 min d'arc;Nouvelle candidate
19:46:10.90;+17:06:09.11;StDr 26;0.2 min d'arc;Vraie NP
19:46:20.63;+34:23:38.44;StDr 165;0.8 min d'arc;NP Probable
19:46:31.00;-09:21:18.00;Fe 4;0.5 min d'arc;Vraie NP
19:47:28.00;+22:28:24.00;Ra 17;0.3 min d'arc;Vraie NP
19:47:38.03;+27:18:43.50;StDr Objet 12;0.3 x 0.2 min d'arc;Objet intéressant
19:47:52.63;+26:54:23.38;RaEMol 1;0.1 min d'arc;Vraie NP
19:48:33.90;-09:48:06.70;LDû 17;0.6 min d'arc;Galaxie ?
19:49:00.03;+18:49:52.60;Mul 6;0.1 min d'arc;Nouvelle candidate
19:49:35.00;+33:36:01.00;Ra 26;0.5 min d'arc;Nouvelle candidate
19:49:39.11;+30:58:18.47;StDr 91;1.1 min d'arc;Nouvelle candidate
19:49:48.68;+35:49:14.34;StDr Objet 26;0.35 min d'arc;Etoile avec raies en émission
19:49:53.70;+18:40:15.10;RaMul 2;0.2 min d'arc;Vraie NP
19:50:11.26;+26:43:32.09;StDr 7;0.3 min d'arc;Possible NP
19:50:33.00;+30:15:22.00;Pre 7;0.6 min d'arc;Vraie NP
19:50:43.10;+18:06:42.11;StDr 148;0.9 min d'arc;Nouvelle candidate
19:50:46.66;+28:26:10.77;StDr 149;2.2 min d'arc;Nouvelle candidate
19:50:57.00;+33:47:32.00;Ra Objet 2;0.3 min d'arc;Vraie NP
19:50:58.49;+27:27:44.52;StDr 150;2 min d'arc;Nouvelle candidate
19:52:06.00;+09:44:07.00;LDû Objet 6;0.2 min d'arc;Nouvelle candidate
